date,portfolio_id,p05,p25,median,p75,p95
2026-12-13 08:13:42.857142858,Balanced,351481.43428866245,381523.0029557831,400688.61003526417,418557.53753640776,447035.1718187268
2026-12-14 19:00:34.285714286,Balanced,350932.34461911896,381580.3384832761,401212.7212470083,419031.60951860703,447918.03352933365
2026-12-16 05:47:25.714285714,Balanced,350583.3242856495,381905.6355461989,401039.89173181565,419191.0313367301,448804.1891515448
2026-12-17 16:34:17.142857144,Balanced,350019.4632900153,381836.35225852695,401669.3827501907,419769.03061293665,449483.50957361236
2026-12-19 03:21:08.571428572,Balanced,350542.8259137126,382068.07187980745,401713.5959780192,420654.8023038802,449728.02150019153
2026-12-20 14:08:00.000000000,Balanced,350430.1914482679,382166.8409891634,401925.9697562291,420802.8295197832,450553.385466202
2026-12-22 00:54:51.428571430,Balanced,350445.28389610606,382190.60433754936,402074.63287397247,421227.97313270974,451136.4505482283
2026-12-23 11:41:42.857142858,Balanced,350221.38810621033,382696.32962965977,402138.9342357663,421434.1693571,451720.2434759786
2026-12-24 22:28:34.285714286,Balanced,349157.2645633439,382962.2207100132,402567.946926751,422010.50434981677,452057.29883292527
2026-12-26 09:15:25.714285714,Balanced,349380.1041056983,382687.38865633315,402699.89577346214,422498.39331314276,453058.8114605004
2026-12-27 20:02:17.142857144,Balanced,350023.7771988414,383013.2171071452,403057.2047450963,423029.3457009033,453866.81711309275
2026-12-29 06:49:08.571428572,Balanced,349683.5458599322,383019.3414479656,403351.22101475636,423647.42403641215,454574.25609878235
2026-12-30 17:36:00.000000000,Balanced,348914.19276077644,383216.1655491488,403752.4116118421,424107.2047689016,455018.49888451834
2027-01-01 04:22:51.428571430,Balanced,348733.62472223694,383392.43023097236,403816.12127392343,424847.463492298,455704.44734510256
2027-01-02 15:09:42.857142858,Balanced,349331.82469472307,383531.80506949517,404028.4416784565,424754.97304520936,456332.9263074576
2027-01-04 01:56:34.285714286,Balanced,349434.7700041132,383826.37578973843,403962.4089452438,425088.5548813149,456953.60306454013
2027-01-05 12:43:25.714285714,Balanced,349750.7697511304,384012.8661071807,404367.29804875085,425506.44598868315,457748.995709145
2027-01-06 23:30:17.142857144,Balanced,349453.0041360114,384123.3437457149,404864.1956327888,426076.93816285825,458344.3747128728
2027-01-08 10:17:08.571428572,Balanced,349117.2793225775,384021.517808401,404600.1225633271,426245.4606646885,458815.40549316764
2027-01-09 21:04:00.000000000,Balanced,349051.3215244305,384215.0550780087,405316.4687560585,426782.25196198747,459402.82267227245
2027-01-11 07:50:51.428571430,Balanced,349058.0433856251,384312.12369117845,405380.44025154744,427303.9728415547,459670.46410353674
2027-01-12 18:37:42.857142858,Balanced,348573.4230003517,384558.0080193749,405636.8065254396,428025.4248630452,460141.43035739945
