date,ticker,adjusted_price,volume
2023-06-20,RY.TO,111.30826568603516,2692300
2023-06-21,RY.TO,111.15658569335938,2248600
2023-06-22,RY.TO,110.28225708007812,2001500
2023-06-23,RY.TO,109.13135528564453,1985800
2023-06-26,RY.TO,110.29116821289062,4121600
2023-06-27,RY.TO,111.72760009765625,2109100
2023-06-28,RY.TO,111.45101165771484,1824400
2023-06-29,RY.TO,111.9773941040039,2730000
2023-06-30,RY.TO,112.87848663330078,3625900
2023-07-04,RY.TO,113.05693817138672,1749000
2023-07-05,RY.TO,113.37812042236328,4277900
2023-07-06,RY.TO,111.9773941040039,3769000
2023-07-07,RY.TO,111.98631286621094,4305300
2023-07-10,RY.TO,111.76327514648438,2935000
2023-07-11,RY.TO,112.27181243896484,5230700
2023-07-12,RY.TO,112.48592376708984,5612500
2023-07-13,RY.TO,113.68146514892578,5820200
2023-07-14,RY.TO,114.30598449707031,5526700
2023-07-17,RY.TO,115.153564453125,4693900
2023-07-18,RY.TO,115.6799545288086,9973900
2023-07-19,RY.TO,116.13493347167969,12686500
2023-07-20,RY.TO,116.36690521240234,5410200
2023-07-21,RY.TO,116.90223693847656,10349600
2023-07-24,RY.TO,117.8211669921875,2970300
2023-07-25,RY.TO,117.190185546875,10274500
2023-07-26,RY.TO,117.33440399169922,9827900
2023-07-27,RY.TO,117.32538604736328,6247000
2023-07-28,RY.TO,117.46058654785156,5712900
2023-07-31,RY.TO,117.83919525146484,3066900
2023-08-01,RY.TO,116.88370513916016,7878900
2023-08-02,RY.TO,115.820068359375,4407900
2023-08-03,RY.TO,115.10797119140625,1979000
2023-08-04,RY.TO,115.6037368774414,1979200
2023-08-08,RY.TO,114.90966796875,3942700
2023-08-09,RY.TO,114.90966796875,1979000
2023-08-10,RY.TO,115.10797119140625,4102800
2023-08-11,RY.TO,114.99079895019531,2229500
2023-08-14,RY.TO,114.35981750488281,3640900
2023-08-15,RY.TO,111.80886840820312,3587600
2023-08-16,RY.TO,111.25000762939453,3557600
2023-08-17,RY.TO,110.41170501708984,3414800
2023-08-18,RY.TO,109.49229431152344,3516100
2023-08-21,RY.TO,109.28496551513672,5630400
2023-08-22,RY.TO,107.90583801269531,4165000
2023-08-23,RY.TO,108.40160369873047,3818900
2023-08-24,RY.TO,110.5289077758789,2978200
2023-08-25,RY.TO,109.0866470336914,2058500
2023-08-28,RY.TO,109.9880599975586,1521000
2023-08-29,RY.TO,110.56494903564453,2253400
2023-08-30,RY.TO,110.85340881347656,1679000
2023-08-31,RY.TO,109.73566436767578,2154000
2023-09-01,RY.TO,110.7362060546875,2461000
2023-09-05,RY.TO,109.9880599975586,1632400
2023-09-06,RY.TO,109.28496551513672,1540400
2023-09-07,RY.TO,108.43766021728516,2614300
2023-09-08,RY.TO,108.25738525390625,1575000
2023-09-11,RY.TO,108.52779388427734,1138100
2023-09-12,RY.TO,109.26693725585938,1310700
2023-09-13,RY.TO,109.93396759033203,1982500
2023-09-14,RY.TO,111.28606414794922,2455800
2023-09-15,RY.TO,111.88098907470703,8515700
2023-09-18,RY.TO,111.18690490722656,1511900
2023-09-19,RY.TO,110.29454040527344,2658500
2023-09-20,RY.TO,110.66409301757812,917500
2023-09-21,RY.TO,108.92440795898438,2203300
2023-09-22,RY.TO,108.3385009765625,2660400
2023-09-25,RY.TO,108.54582977294922,4449600
2023-09-26,RY.TO,107.13965606689453,3513500
2023-09-27,RY.TO,105.73348236083984,3448400
2023-09-28,RY.TO,107.04952239990234,2778600
2023-09-29,RY.TO,106.99541473388672,3313600
2023-10-02,RY.TO,104.51659393310547,4403900
2023-10-03,RY.TO,101.98368072509766,5967200
2023-10-04,RY.TO,102.9301528930664,5264500
2023-10-05,RY.TO,103.72335815429688,4823300
2023-10-06,RY.TO,103.57013702392578,6214700
2023-10-10,RY.TO,104.1199951171875,5743300
2023-10-11,RY.TO,104.90419006347656,5678400
2023-10-12,RY.TO,104.15605163574219,3792900
2023-10-13,RY.TO,103.24563598632812,2968800
2023-10-16,RY.TO,104.74193572998047,9376600
2023-10-17,RY.TO,104.13800048828125,3894900
2023-10-18,RY.TO,102.44340515136719,4782900
2023-10-19,RY.TO,101.884521484375,3101300
2023-10-20,RY.TO,100.06372833251953,9340900
2023-10-23,RY.TO,100.35216522216797,2908300
2023-10-24,RY.TO,99.49583435058594,4806600
2023-10-25,RY.TO,99.56884002685547,9526400
2023-10-26,RY.TO,100.57263946533203,6907100
2023-10-27,RY.TO,98.98479461669922,6817100
2023-10-30,RY.TO,100.4905014038086,6701200
2023-10-31,RY.TO,101.07455444335938,5015700
2023-11-01,RY.TO,101.5399398803711,3133300
2023-11-02,RY.TO,104.75215148925781,4425900
2023-11-03,RY.TO,105.90196990966797,7501100
2023-11-06,RY.TO,106.05709838867188,4604700
2023-11-07,RY.TO,105.65556335449219,8334600
2023-11-08,RY.TO,105.85633850097656,4122000
